id,text
1,tse hoo tsan se kai ling pang kah tit lin khuann tsai kan lai u put li e ing khiong
2,sann si siu o ho ki ki khuan
3,kuah lai khe tean iann ng
4,bo lun lu ho li gua i king tsit tui ho tsing phuann
5,la gua ko sann pih kiap e ing gi tsuan giap thang ang ni
6,i khe ae mih kiann kai ho tau bean gua ko to tauh e o
7,na bian siong pan to u tsinn gua sui si thau loo
8,eh
9,mng kiann kuann ho ho oo
10,hi tso tai gi bun bun ku e hun thia phah sen li iong gi huat tshiu pak senli kai tsi gi su tah phue e tsing khah lut
11,tsuei pham be khi li kha ling ai tau tsit tai phang phu la phang
12,sin kuann
13,ti hia huann e lang ia si sam sam bong nguo tshinn tshinn tsng tsng
14,ho tshiannh
15,tah boog si tshiu na siong sui  si tsun boog tsiong it tsheh khoo tso tsit hue bo kuah bo li
16,i ka ti sann liap inn a ma tsiah tsia loh khi na tsiaha koh a oh loh kong ua a gua tsu tshut si kau tann m bat tsiah kue tsih hon ni phang e inn a neh
17,ling gua king ki ing bun e gi liau khoo tso tshut lai gi su tah phue kai su in aa th tsi si tai bing su la tshu kuan su o go in ui pin lo tsin kuan tsia e gi su e gi su tah phaue oflo lat vtoh tiu bi in o ma long pai ti tsiann thau tsing
18,i kai piap ken siau tai i sing kau ket kin kong tong cqu ioh ioh e bo ian kim hoo pian liau liau
19,i si tsit e tsin louu sit e sian sinn lang
20,long si tsio tua khoo tai tsia ka gua sen tsit e khong kiann
21,tiau tai ka tit tsu tiunn tshu bi a si kong tshit koa tshiu khui
22,peh pah khong ak phinn iah gam tsinh iu huat tean kin oopec ke ui put po
23,sit la ooh
24,honnh lat lai lai than sio tsiah tha sion tsiah
25,i kui tioh khioh pang e king leh koong  ong po tshuan kak si ling kui si thaou tsit tshut tai uan lang hip be tua ki kphinnh kean iann
26,ah lim e ua thoo lui si li pong tioh gua e neh
27,thau ke a m thang a
28,tsiok tse lang leh io ah lak ah e ti siann mih si tsun to tann
29,bo lun tean si iah tean tai ta ke siann siann ku ku kan sia ui tai e bu tshin ta ke long su iau
30,hau tiunng siann mih tai tsi
31,gua hiong i suat bing hit tiann tai tsi
32,tsit tsun hoo lan theh lai liah siu khi e tsiau a
33,kam ka khi lai na e u tam poh a iu tshiu guan lai khuai ok e guan in m si tso siann mih tai tsi
34,ke lang bioh khau e thian pu lah siong u mia
35,i tsing li tai gi su lui tsong si tsi si tua kang ting ma su iau siong se  kui ue
36,tu tsia kong hng lai u tsiah tse lang tit hia sng phok kheh moong
37,ti bi kok po tim uor tsing tsok poo tong tng iam e si tsing tshuh bin tshu tong the mia tsham suan tsong thuong e
38,na si tsau kang oo e kua leh to si thong koo na si khi tsiah kua leh to si phia koo tse si kang khuan bo kang sai hu tsuat tui m thang hu m tioh khi
39,gua ka ti lai to sai ah
40,hun lim kuan koo khen hiong inn khuan pinn a to u tsit king sann tsap ni kiunn bo a lau tih
41,sann tap phue giau to tso sean na sioh m bian tsiah pnga hioh
42,kham ke a lai king to tsit e suan hang siong tho tong
43,ku ka lin pe tiam leh kong
44,iu un gian tai han ki suat ha nn tsu sin kang ting hi tsoo li kau siu
45,boa li khuann leh tsiok sui tsiok koo tshui e iunn tsong e lang beh ti tsit su lah tsau gin na ki tui poh lia tu lai pi
46,li tsit e hon me me
47,sian si it tsit kui kang liam mi huanh kuann lian mi hua louah kam e si tioh ma la li a
48,ui tsit e kak too khuann tsu tong gi su tah phue thong ke pio tui su tian su tiau e siu lok e tang the kiong tsit kua kian gi
49,lan sip pai kui beh pue boog
50,i tshiann gua bo nng pai to huan hue a
51,khu i na e bo kuann an
52,peh khi li khuann na e
53,iau kiu khah ho e sia hue tsing tshik
54,gua kong li tsit e kong mng kau ah gua tuoa e leh kah li kong ue  li tsit ma si siann khai too ah
55,a pah mlai phah o bai m kann
56,in e put bua koh ka lai tsu sauin tsia e tsng kha e pun buan hue hap tui sia hue un ting tso sing thiau tsea
57,tui pu tin ai kong tse tai tiau i kiong mgi tui khong bi kok kah a tsiu tit tioh sing li
58,sin tiak tshi tsi ui goo hue tsap poo tin a in ui ui tng iam pa tshut tua tng phah khang king kue kin kip be tshiu sut tsiah kue blin
59,li tshiu  lik khit lai sun suann ka li pong hui ap
60,ho
61,i e phue gu pih e  peh peh
62,ti kia lun tsok tsia kong o bamma e i tiam si i tshu tiong su iong king tse ka gua kau e li liong
63,li khuann mui tsu uo tsiah gau khinn ke tsit ma tsing khui tsiah bat tai tsi gua tui tain kah u kau tai ah lah
64,a lim pe a m ho ah lah len tsa boo tiann ui tshinn a tsang tiog poah loh lai
65,bo khuann e khai kue sim
66,a tsit nia iunn tsong tsiok sui ih
67,li thau mng tshui tshiu peh au khok khoo ah ia ko siunn beh kat ag tshua sui boo
68,thing loh lai e si sim lai kam u bun tsiok e kam kak sing khu na kiann liau siunn kin
69,lan tsit tsun khit luk kang ain nng tiam puann tsing
70,au puehah na bo loh ui hue ka thian tiau lih tho tikh biau khu e tsiu gia huau butiong sim kam kann an ne luah bu
71,hann
72,mun kiann tshing ai sa s ryoe kam e sai hoo gun tshi tshing
73,tsai tiunn e hai mi a long si hua e thai ko nua lo senn thau huat bueh khue khau phu siunn uai ko tshi tshuah khuann tioh uah be khi kin bo phue
74,gua e sing khuann la
75,in ui hue gam teann tiann su iau huah liau ti liau kue thing hoo i thiann tiu tiuh
